FY,Branch,Board,AZ_Eligible,AZ_Select ,Perc_AZ_Selects,PZ_Eligible,PZ_Select ,Perc_PZ_Selects,BZ_Eligible,BZ_Select ,Perc_BZ_Selects
2001,AN,COL,80,5,6.3,44,12,27.3,49,0,0.0
2001,AN,CPT,2,2,100.0,170,169,99.4,0,0,0.0
2001,AN,LTC,69,11,15.9,93,59,63.4,109,1,0.9
2001,AN,MAJ,8,3,37.5,100,95,95.0,143,0,0.0
2001,DC,COL,69,9,13.0,38,23,60.5,29,1,3.4
2001,DC,LTC,38,11,28.9,36,25,69.4,22,0,0.0
2001,DC,MAJ,1,0,0.0,27,27,100.0,0,0,0.0
2001,MC,COL,103,23,22.3,98,68,69.4,72,2,2.8
2001,MC,LTC,46,7,15.2,135,110,81.5,229,6,2.6
2001,MC,MAJ,20,11,55.0,311,304,97.7,0,0,0.0
2001,MS,COL,97,5,5.2,59,25,42.4,65,0,0.0
2001,MS,CPT,30,24,80.0,151,151,100.0,0,0,0.0
2001,MS,LTC,67,16,23.9,103,68,66.0,96,1,1.0
2001,MS,MAJ,65,22,33.8,141,105,74.5,158,0,0.0
2001,SP,COL,6,0,0.0,8,4,50.0,10,1,10.0
2001,SP,CPT,1,1,100.0,96,94,97.9,909,25,2.8
2001,SP,LTC,4,1,25.0,13,9,69.2,19,1,5.3
2001,SP,MAJ,2,0,0.0,31,27,87.1,60,0,0.0
2001,VC,COL,18,0,0.0,10,4,40.0,14,0,0.0
2001,VC,LTC,21,3,14.3,17,8,47.1,23,1,4.3
2001,VC,MAJ,4,2,50.0,20,16,80.0,23,0,0.0
2002,AN,COL,75,6,8.0,41,12,29.3,51,0,0.0
2002,AN,CPT,1,1,100.0,271,269,99.3,0,0,0.0
2002,AN,LTC,80,6,7.5,103,71,68.9,112,1,0.9
2002,AN,MAJ,14,5,35.7,134,114,85.1,108,3,2.8
2002,DC,COL,61,8,13.1,31,16,51.6,25,0,0.0
2002,DC,LTC,28,13,46.4,24,17,70.8,29,0,0.0
2002,DC,MAJ,1,0,0.0,21,21,100.0,0,0,0.0
2002,MC,COL,87,19,21.8,72,47,65.3,105,2,1.9
2002,MC,LTC,42,13,31.0,201,171,85.1,187,4,2.1
2002,MC,MAJ,10,4,40.0,294,288,98.0,0,0,0.0
2002,MS,COL,95,8,8.4,53,19,35.8,68,1,1.5
2002,MS,CPT,0,0,0.0,205,201,98.0,0,0,0.0
2002,MS,LTC,71,18,25.4,92,64,69.6,121,1,0.8
2002,MS,MAJ,47,16,34.0,169,124,73.4,165,4,2.4
2002,SP,COL,8,2,25.0,8,4,50.0,7,0,0.0
2002,SP,CPT,0,0,0.0,131,130,99.2,0,0,0.0
2002,SP,LTC,6,1,16.7,17,13,76.5,15,0,0.0
2002,SP,MAJ,4,3,75.0,49,46,93.9,42,0,0.0
2002,VC,COL,13,0,0.0,20,6,30.0,9,0,0.0
2002,VC,LTC,20,8,40.0,18,6,33.3,13,0,0.0
2002,VC,MAJ,4,2,50.0,23,19,82.6,23,0,0.0
2003,AN,COL,64,7,10.9,39,11,28.2,48,0,0.0
2003,AN,CPT,0,0,0.0,262,259,98.9,0,0,0.0
2003,AN,LTC,86,8,9.3,103,64,62.1,94,0,0.0
2003,AN,MAJ,11,3,27.3,95,87,91.6,120,2,1.7
2003,DC,COL,51,10,19.6,26,13,50.0,21,1,4.8
2003,DC,LTC,16,1,6.3,30,20,66.7,20,1,5.0
2003,DC,MAJ,1,0,0.0,34,32,94.1,0,0,0.0
2003,MC,COL,77,17,22.1,108,73,67.6,86,1,1.2
2003,MC,LTC,37,9,24.3,162,123,75.9,199,3,1.5
2003,MC,MAJ,7,2,28.6,286,281,98.3,0,0,0.0
2003,MS,COL,76,8,10.5,55,22,40.0,66,0,0.0
2003,MS,CPT,3,1,33.3,188,181,96.3,0,0,0.0
2003,MS,LTC,63,21,33.3,121,80,66.1,117,1,0.9
2003,MS,MAJ,57,16,28.1,156,112,71.8,157,2,1.3
2003,SP,COL,3,0,0.0,6,3,50.0,8,0,0.0
2003,SP,CPT,1,0,0.0,116,115,99.1,0,0,0.0
2003,SP,LTC,8,2,25.0,14,10,71.4,13,0,0.0
2003,SP,MAJ,2,1,50.0,38,34,89.5,34,2,5.9
2003,VC,COL,20,5,25.0,12,4,33.3,8,0,0.0
2003,VC,LTC,21,3,14.3,11,7,63.6,16,0,0.0
2003,VC,MAJ,5,1,20.0,19,15,78.9,23,0,0.0
2004,AN,COL,64,3,4.7,33,9,27.3,50,0,0.0
2004,AN,CPT,3,1,33.3,237,226,95.4,0,0,0.0
2004,AN,LTC,98,28,28.6,86,45,52.3,92,2,2.2
2004,AN,MAJ,6,1,16.7,110,105,95.5,143,0,0.0
2004,DC,COL,42,7,16.7,24,14,58.3,15,0,0.0
2004,DC,LTC,18,3,16.7,20,13,65.0,13,0,0.0
2004,DC,MAJ,1,0,0.0,34,33,97.1,0,0,0.0
2004,MC,COL,70,13,18.6,91,70,76.9,81,2,2.5
2004,MC,LTC,45,6,13.3,185,142,76.8,207,3,1.4
2004,MC,MAJ,5,2,40.0,296,290,98.0,0,0,0.0
2004,MS,COL,75,5,6.7,62,27,43.5,70,1,1.4
2004,MS,CPT,5,4,80.0,220,216,98.2,0,0,0.0
2004,MS,LTC,67,13,19.4,116,85,73.3,117,4,3.4
2004,MS,MAJ,65,22,33.8,143,107,74.8,158,0,0.0
2004,SP,COL,4,0,0.0,7,5,71.4,7,0,0.0
2004,SP,CPT,1,0,0.0,132,130,98.5,0,0,0.0
2004,SP,LTC,6,1,16.7,12,10,83.3,14,0,0.0
2004,SP,MAJ,2,0,0.0,31,27,87.1,60,0,0.0
2004,VC,COL,15,1,6.7,8,3,37.5,9,0,0.0
2004,VC,LTC,19,8,42.1,16,6,37.5,20,0,0.0
2004,VC,MAJ,3,1,33.3,23,19,82.6,23,0,0.0
2005,AN,COL,58,7,12.1,36,8,22.2,46,1,2.2
2005,AN,CPT,7,5,71.4,285,275,96.5,0,0,0.0
2005,AN,LTC,80,21,26.3,87,56,64.4,75,2,2.7
2005,AN,MAJ,6,2,33.3,135,128,94.8,156,4,2.6
2005,DC,COL,34,7,20.6,18,9,50.0,32,0,0.0
2005,DC,LTC,17,7,41.2,13,9,69.2,17,0,0.0
2005,DC,MAJ,1,0,0.0,26,26,100.0,0,0,0.0
2005,MC,COL,59,15,25.4,83,63,75.9,88,2,2.3
2005,MC,LTC,56,18,32.1,185,144,77.8,208,4,1.9
2005,MC,MAJ,9,4,44.4,298,279,93.6,0,0,0.0
2005,MS,COL,68,7,10.3,63,30,47.6,71,1,1.4
2005,MS,CPT,2,2,100.0,233,230,98.7,0,0,0.0
2005,MS,LTC,64,13,20.3,111,90,81.1,116,3,2.6
2005,MS,MAJ,58,20,34.5,143,108,75.5,179,2,1.1
2005,SP,COL,3,1,33.3,7,4,57.1,8,0,0.0
2005,SP,CPT,0,0,0.0,136,131,96.3,0,0,0.0
2005,SP,LTC,6,0,0.0,13,11,84.6,20,0,0.0
2005,SP,MAJ,3,1,33.3,48,41,85.4,67,1,1.5
2005,VC,COL,15,2,13.3,9,4,44.4,11,0,0.0
2005,VC,LTC,19,7,36.8,21,11,52.4,13,0,0.0
2005,VC,MAJ,5,2,40.0,23,20,87.0,29,0,0.0
2006,AN,COL,61,8,13.1,35,10,28.6,49,0,0.0
2006,AN,CPT,5,2,40.0,238,229,96.2,0,0,0.0
2006,AN,LTC,66,17,25.8,69,50,72.5,85,2,2.4
2006,AN,MAJ,7,2,28.6,152,145,95.4,143,4,2.8
2006,DC,COL,29,10,34.5,30,21,70.0,26,0,0.0
2006,DC,LTC,10,7,70.0,15,13,86.7,19,0,0.0
2006,DC,MAJ,0,0,0.0,32,32,100.0,0,0,0.0
2006,MC,COL,49,12,24.5,79,61,77.2,107,2,1.9
2006,MC,LTC,52,18,34.6,193,150,77.7,196,4,2.0
2006,MC,MAJ,21,14,66.7,328,321,97.9,0,0,0.0
2006,MS,COL,68,7,10.3,59,29,49.2,66,1,1.5
2006,MS,CPT,1,0,0.0,281,275,97.9,0,0,0.0
2006,MS,LTC,54,17,31.5,109,84,77.1,127,5,3.9
2006,MS,MAJ,55,23,41.8,159,133,83.6,176,4,2.3
2006,SP,COL,4,0,0.0,6,5,83.3,11,0,0.0
2006,SP,CPT,4,2,50.0,68,68,100.0,0,0,0.0
2006,SP,LTC,5,2,40.0,19,15,78.9,24,0,0.0
2006,SP,MAJ,3,3,100.0,65,58,89.2,87,1,1.1
2006,VC,COL,16,2,12.5,11,5,45.5,15,0,0.0
2006,VC,LTC,20,2,10.0,13,8,61.5,15,0,0.0
2006,VC,MAJ,2,2,100.0,27,23,85.2,28,1,3.6
2007,AN,COL,54,5,9.3,41,16,39.0,59,1,1.7
2007,AN,CPT,7,5,71.4,256,256,100.0,0,0,0.0
2007,AN,LTC,53,14,26.4,78,60,76.9,84,3,3.6
2007,AN,MAJ,4,1,25.0,131,124,94.7,88,4,4.5
2007,DC,COL,19,10,52.6,31,21,67.7,16,1,6.3
2007,DC,LTC,3,2,66.7,18,17,94.4,17,1,5.9
2007,DC,MAJ,0,0,0.0,44,44,100.0,0,0,0.0
2007,MC,COL,43,15,34.9,105,85,81.0,91,2,2.2
2007,MC,LTC,40,14,35.0,179,136,76.0,176,4,2.3
2007,MC,MAJ,9,4,44.4,343,338,98.5,0,0,0.0
2007,MS,COL,63,10,15.9,61,28,45.9,81,2,2.5
2007,MS,CPT,5,4,80.0,261,259,99.2,0,0,0.0
2007,MS,LTC,52,8,15.4,122,107,87.7,118,3,2.5
2007,MS,MAJ,43,23,53.5,161,129,80.1,161,5,3.1
2007,SP,COL,3,1,33.3,10,5,50.0,8,0,0.0
2007,SP,CPT,1,1,100.0,151,150,99.3,0,0,0.0
2007,SP,LTC,6,2,33.3,22,17,77.3,23,1,4.3
2007,SP,MAJ,4,3,75.0,83,79,95.2,58,2,3.4
2007,VC,COL,13,2,15.4,12,5,41.7,10,0,0.0
2007,VC,LTC,22,5,22.7,14,7,50.0,17,0,0.0
2007,VC,MAJ,3,2,66.7,26,24,92.3,26,0,0.0
2008,AN,COL,59,5,8.5,46,22,47.8,52,0,0.0
2008,AN,CPT,2,1,50.0,272,266,97.8,0,0,0.0
2008,AN,LTC,43,12,27.9,74,61,82.4,66,3,4.5
2008,AN,MAJ,9,5,55.6,78,76,97.4,133,3,2.3
2008,DC,COL,16,4,25.0,16,14,87.5,13,1,7.7
2008,DC,LTC,2,1,50.0,13,13,100.0,21,1,4.8
2008,DC,MAJ,0,0,0.0,55,55,100.0,0,0,0.0
2008,MC,COL,42,10,23.8,84,69,82.1,90,3,3.3
2008,MC,LTC,47,21,44.7,156,122,78.2,170,4,2.4
2008,MC,MAJ,6,2,33.3,284,275,96.8,0,0,0.0
2008,MS,COL,60,7,11.7,71,37,52.1,86,2,2.3
2008,MS,CPT,2,1,50.0,289,286,99.0,0,0,0.0
2008,MS,LTC,42,7,16.7,111,98,88.3,117,4,3.4
2008,MS,MAJ,40,20,50.0,148,120,81.1,147,4,2.7
2008,SP,COL,7,0,0.0,7,3,42.9,10,0,0.0
2008,SP,CPT,1,0,0.0,110,109,99.1,0,0,0.0
2008,SP,LTC,8,2,25.0,19,15,78.9,18,0,0.0
2008,SP,MAJ,4,1,25.0,57,49,86.0,86,1,1.2
2008,VC,COL,13,2,15.4,10,5,50.0,14,0,0.0
2008,VC,LTC,19,7,36.8,16,10,62.5,13,0,0.0
2008,VC,MAJ,2,2,100.0,23,19,82.6,24,0,0.0
2009,AN,COL,58,7,12.1,36,14,38.9,59,0,0.0
2009,AN,CPT,5,3,60.0,336,332,98.8,0,0,0.0
2009,AN,LTC,32,10,31.3,62,57,91.9,70,3,4.3
2009,AN,MAJ,1,1,100.0,126,122,96.8,129,14,10.9
2009,DC,COL,13,3,23.1,12,11,91.7,15,1,6.7
2009,DC,LTC,1,0,0.0,18,17,94.4,19,1,5.3
2009,DC,MAJ,0,0,0.0,38,38,100.0,0,0,0.0
2009,MC,COL,40,7,17.5,85,69,81.2,100,4,4.0
2009,MC,LTC,31,7,22.6,155,126,81.3,181,5,2.8
2009,MC,MAJ,8,4,50.0,299,288,96.3,0,0,0.0
2009,MS,COL,65,6,9.2,70,29,41.4,83,2,2.4
2009,MS,CPT,3,2,66.7,312,304,97.4,0,0,0.0
2009,MS,LTC,37,12,32.4,111,91,82.0,106,4,3.8
2009,MS,MAJ,42,23,54.8,130,114,87.7,153,6,3.9
2009,SP,COL,10,1,10.0,9,3,33.3,10,0,0.0
2009,SP,CPT,0,0,0.0,146,146,100.0,0,0,0.0
2009,SP,LTC,10,1,10.0,15,10,66.7,16,0,0.0
2009,SP,MAJ,9,2,22.2,86,70,81.4,93,1,1.1
2009,VC,COL,11,0,0.0,14,7,50.0,17,0,0.0
2009,VC,LTC,17,4,23.5,13,10,76.9,16,1,6.3
2009,VC,MAJ,3,2,66.7,25,21,84.0,20,1,5.0
2010,AN,COL,60,8,13.3,52,17,32.7,55,0,0.0
2010,AN,CPT,3,0,0.0,318,313,98.4,0,0,0.0
2010,AN,LTC,24,7,29.2,64,60,93.8,92,2,2.2
2010,AN,MAJ,3,1,33.3,144,143,99.3,146,9,6.2
2010,DC,COL,13,5,38.5,13,11,84.6,20,1,5.0
2010,DC,LTC,0,0,0.0,16,14,87.5,20,1,5.0
2010,DC,MAJ,0,0,0.0,49,48,98.0,0,0,0.0
2010,MC,COL,43,7,16.3,96,80,83.3,127,5,3.9
2010,MC,LTC,35,13,37.1,167,129,77.2,177,7,4.0
2010,MC,MAJ,14,7,50.0,340,329,96.8,0,0,0.0
2010,MS,COL,81,5,6.2,74,26,35.1,95,0,0.0
2010,MS,CPT,7,3,42.9,339,334,98.5,0,0,0.0
2010,MS,LTC,38,7,18.4,100,82,82.0,109,5,4.6
2010,MS,MAJ,27,8,29.6,137,128,93.4,175,8,4.6
2010,SP,COL,10,1,10.0,9,3,33.3,14,0,0.0
2010,SP,CPT,0,0,0.0,174,173,99.4,0,0,0.0
2010,SP,LTC,13,4,30.8,14,5,35.7,27,1,3.7
2010,SP,MAJ,18,5,27.8,91,68,74.7,102,2,2.0
2010,VC,COL,16,1,6.3,16,6,37.5,9,0,0.0
2010,VC,LTC,14,3,21.4,15,11,73.3,21,2,9.5
2010,VC,MAJ,5,1,20.0,19,16,84.2,22,1,4.5
2011,AN,COL,59,3,5.1,42,18,42.9,64,1,1.6
2011,AN,CPT,3,0,0.0,391,368,94.1,0,0,0.0
2011,AN,LTC,15,4,26.7,89,83,93.3,92,5,5.4
2011,AN,MAJ,3,2,66.7,157,149,94.9,158,7,4.4
2011,DC,COL,7,5,71.4,15,15,100.0,17,1,5.9
2011,DC,LTC,0,0,0.0,17,15,88.2,19,1,5.3
2011,DC,MAJ,1,0,0.0,56,55,98.2,0,0,0.0
2011,MC,COL,41,8,19.5,113,82,72.6,110,5,4.5
2011,MC,LTC,38,12,31.6,156,118,75.6,178,7,3.9
2011,MC,MAJ,16,10,62.5,344,316,91.9,0,0,0.0
2011,MS,COL,85,12,14.1,76,19,25.0,103,0,0.0
2011,MS,CPT,5,1,20.0,322,313,97.2,0,0,0.0
2011,MS,LTC,41,11,26.8,103,78,75.7,145,2,1.4
2011,MS,MAJ,17,4,23.5,181,165,91.2,188,8,4.3
2011,SP,COL,11,1,9.1,14,4,28.6,17,0,0.0
2011,SP,CPT,1,1,100.0,106,98,92.5,0,0,0.0
2011,SP,LTC,16,4,25.0,25,12,48.0,32,1,3.1
2011,SP,MAJ,44,8,18.2,106,63,59.4,88,3,3.4
2011,VC,COL,22,1,4.5,9,2,22.2,11,0,0.0
2011,VC,LTC,13,3,23.1,19,13,68.4,24,2,8.3
2011,VC,MAJ,1,1,100.0,25,21,84.0,22,1,4.5
2012,AN,COL,59,3,5.1,52,20,38.5,59,1,1.7
2012,AN,CPT,15,3,20.0,362,315,87.0,0,0,0.0
2012,AN,LTC,8,4,50.0,103,98,95.1,99,5,5.1
2012,AN,MAJ,5,2,40.0,149,141,94.6,185,7,3.8
2012,DC,COL,3,0,0.0,15,14,93.3,12,1,8.3
2012,DC,LTC,2,0,0.0,16,16,100.0,31,1,3.2
2012,DC,MAJ,2,1,50.0,58,57,98.3,0,0,0.0
2012,MC,COL,59,15,25.4,102,65,63.7,91,2,2.2
2012,MC,LTC,41,13,31.7,165,121,73.3,192,6,3.1
2012,MC,MAJ,28,10,35.7,335,323,96.4,0,0,0.0
2012,MS,COL,105,7,6.7,94,31,33.0,94,0,0.0
2012,MS,CPT,4,1,25.0,317,281,88.6,0,0,0.0
2012,MS,LTC,47,6,12.8,138,107,77.5,133,6,4.5
2012,MS,MAJ,31,10,32.3,171,147,86.0,230,4,1.7
2012,SP,COL,15,2,13.3,14,3,21.4,12,0,0.0
2012,SP,CPT,5,3,60.0,86,76,88.4,0,0,0.0
2012,SP,LTC,20,4,20.0,29,15,51.7,45,0,0.0
2012,SP,MAJ,61,6,9.8,78,42,53.8,114,1,0.9
2012,VC,COL,24,2,8.3,10,1,10.0,16,0,0.0
2012,VC,LTC,15,2,13.3,21,15,71.4,25,0,0.0
2012,VC,MAJ,3,1,33.3,17,16,94.1,33,0,0.0
2013,AN,COL,63,5,7.9,50,18,36.0,48,0,0.0
2013,AN,CPT,61,29,47.5,509,381,74.9,0,0,0.0
2013,AN,LTC,8,2,25.0,90,81,90.0,77,3,3.9
2013,AN,MAJ,8,5,62.5,168,149,88.7,173,5,2.9
2013,DC,COL,2,0,0.0,10,7,70.0,15,1,6.7
2013,DC,LTC,0,0,0.0,27,25,92.6,31,1,3.2
2013,DC,MAJ,0,0,0.0,62,61,98.4,0,0,0.0
2013,MC,COL,75,10,13.3,87,57,65.5,96,3,3.1
2013,MC,LTC,56,22,39.3,171,109,63.7,171,6,3.5
2013,MC,MAJ,38,21,55.3,298,288,96.6,0,0,0.0
2013,MS,COL,131,8,6.1,84,26,31.0,93,0,0.0
2013,MS,CPT,41,21,51.2,283,235,83.0,0,0,0.0
2013,MS,LTC,53,17,32.1,124,88,71.0,118,0,0.0
2013,MS,MAJ,33,7,21.2,207,170,82.1,278,9,3.2
2013,SP,COL,21,0,0.0,10,2,20.0,9,1,11.1
2013,SP,CPT,116,93,80.2,58,51,87.9,0,0,0.0
2013,SP,LTC,18,0,0.0,40,24,60.0,34,1,2.9
2013,SP,MAJ,59,13,22.0,106,53,50.0,112,1,0.9
2013,VC,COL,30,3,10.0,15,1,6.7,13,1,7.7
2013,VC,LTC,17,1,5.9,25,14,56.0,18,1,5.6
2013,VC,MAJ,3,1,33.3,29,25,86.2,41,2,4.9
2014,AN,COL,63,5,7.9,42,14,33.3,52,1,1.9
2014,AN,CPT,119,55,46.2,360,221,61.4,0,0,0.0
2014,AN,LTC,10,2,20.0,68,55,80.9,98,5,5.1
2014,AN,MAJ,18,0,0.0,162,141,87.0,152,4,2.6
2014,DC,COL,3,0,0.0,14,11,78.6,15,1,6.7
2014,DC,LTC,2,0,0.0,27,25,92.6,31,1,3.2
2014,DC,MAJ,1,1,0.0,52,50,96.2,0,0,0.0
2014,MC,COL,84,13,15.5,86,54,62.8,117,3,2.6
2014,MC,LTC,58,24,41.4,150,98,65.3,173,3,1.7
2014,MC,MAJ,24,12,50.0,274,261,95.3,0,0,0.0
2014,MS,COL,144,16,11.1,84,21,25.0,79,1,1.3
2014,MS,CPT,58,24,41.4,266,206,77.4,0,0,0.0
2014,MS,LTC,55,9,16.4,111,82,73.9,116,2,1.7
2014,MS,MAJ,40,4,10.0,251,171,68.1,275,9,3.3
2014,SP,COL,21,1,4.8,7,2,28.6,8,0,0.0
2014,SP,CPT,75,53,70.7,50,31,62.0,0,0,0.0
2014,SP,LTC,21,1,4.8,30,14,46.7,40,0,0.0
2014,SP,MAJ,72,13,18.1,101,53,52.5,104,0,0.0
2014,VC,COL,35,1,2.9,11,2,18.2,16,0,0.0
2014,VC,LTC,21,2,9.5,17,5,29.4,24,1,4.2
2014,VC,MAJ,3,1,33.3,38,31,81.6,39,1,2.6
2015,AN,COL,59,2,3.4,45,18,40.0,66,0,0.0
2015,AN,CPT,132,48,36.4,266,161,60.5,0,0,0.0
2015,AN,LTC,14,0,0.0,87,64,73.6,118,1,0.8
2015,AN,MAJ,27,8,29.6,135,112,83.0,165,3,1.8
2015,DC,COL,7,3,42.9,12,9,75.0,13,1,7.7
2015,DC,LTC,2,0,0.0,28,26,92.9,35,1,2.9
2015,DC,MAJ,2,0,0.0,69,66,95.7,0,0,0.0
2015,MC,COL,89,21,23.6,106,69,65.1,99,3,3.0
2015,MC,LTC,62,17,27.4,191,129,67.5,248,4,1.6
2015,MC,MAJ,20,6,30.0,274,257,93.8,0,0,0.0
2015,MS,COL,146,5,3.4,71,31,43.7,70,1,1.4
2015,MS,CPT,66,31,47.0,230,177,77.0,0,0,0.0
2015,MS,LTC,58,15,25.9,114,72,63.2,119,3,2.5
2015,MS,MAJ,85,15,17.6,251,162,64.5,287,9,3.1
2015,SP,COL,20,4,20.0,7,0,0.0,12,0,0.0
2015,SP,CPT,97,94,96.9,43,43,100.0,0,0,0.0
2015,SP,LTC,24,3,12.5,35,15,42.9,46,0,0.0
2015,SP,MAJ,73,6,8.2,93,44,47.3,113,0,0.0
2015,VC,COL,40,3,7.5,16,2,12.5,18,0,0.0
2015,VC,LTC,30,1,3.3,22,7,31.8,16,0,0.0
2015,VC,MAJ,6,3,50.0,33,24,72.7,35,0,0.0
2016,AN,COL,66,3,4.5,55,19,34.5,80,0,0.0
2016,AN,CPT,100,45,45.0,244,165,67.6,0,0,0.0
2016,AN,LTC,31,10,32.3,107,70,65.4,108,0,0.0
2016,AN,MAJ,28,7,25.0,147,119,81.0,206,3,1.5
2016,DC,COL,5,1,20.0,12,11,91.7,11,1,9.1
2016,DC,LTC,5,2,40.0,30,25,83.3,35,1,2.9
2016,DC,MAJ,6,5,83.3,70,70,100.0,0,0,0.0
2016,MC,COL,84,16,19.0,93,64,68.8,98,3,3.1
2016,MC,LTC,69,33,47.8,200,129,64.5,193,3,1.6
2016,MC,MAJ,25,13,52.0,303,290,95.7,0,0,0.0
2016,MS,COL,153,14,9.2,64,19,29.7,104,2,1.9
2016,MS,CPT,60,34,56.7,242,186,76.9,0,0,0.0
2016,MS,LTC,66,14,21.2,112,65,58.0,133,8,6.0
2016,MS,MAJ,103,36,35.0,252,171,67.9,244,12,4.9
2016,SP,COL,16,2,12.5,12,4,33.3,15,0,0.0
2016,SP,CPT,34,34,100.0,63,63,100.0,0,0,0.0
2016,SP,LTC,30,4,13.3,44,13,29.5,43,0,0.0
2016,SP,MAJ,76,20,26.3,111,56,50.5,83,1,1.2
2016,VC,COL,39,3,7.7,17,5,29.4,16,0,0.0
2016,VC,LTC,40,8,20.0,16,1,6.3,18,0,0.0
2016,VC,MAJ,10,3,30.0,32,23,71.9,32,0,0.0
